업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적(건물내_외부),업태명,담당부서
휴게음식점,2018-10-04,세븐일레븐 동작대림점,"서울특별시 동작구 상도로 43-1, 1층 (대방동)",서울특별시 동작구 대방동 396-1 ,6.6,편의점,보건행정과
휴게음식점,2018-11-16,CU신대방리안점,"서울특별시 동작구 상도로 59, 1층 103호 (대방동, 리안)",서울특별시 동작구 대방동 394-26 리안 ,3.3,편의점,보건행정과
휴게음식점,2018-11-21,지에스25동작엠코타운,"서울특별시 동작구 상도로 346-1, 상가3동 1층 103,104호 (상도동, 상도엠코타운 센트럴파크)",서울특별시 동작구 상도동 531 상도엠코타운 센트럴파크 ,3.3,편의점,보건행정과
휴게음식점,2018-11-28,씨유 보라매타운점,"서울특별시 동작구 보라매로5가길 24, 업무동 1층 102호 (신대방동, 보라매나산스위트)",서울특별시 동작구 신대방동 395-68 보라매나산스위트 ,3.3,편의점,보건행정과
휴게음식점,2018-12-12,(주)지에스25 흑석중대점,"서울특별시 동작구 서달로14가길 1, 1층 (흑석동)",서울특별시 동작구 흑석동 52-1 ,6.6,편의점,보건행정과
휴게음식점,2018-12-24,지에스25(GS25)사당점,"서울특별시 동작구 사당로23나길 34, 1층 (사당동)",서울특별시 동작구 사당동 162-61 ,3.3,편의점,보건행정과
휴게음식점,2019-01-08,씨유 동작산들점,"서울특별시 동작구 신대방길 19, 1층 (신대방동)",서울특별시 동작구 신대방동 691-36 ,3,편의점,보건행정과
휴게음식점,2019-01-16,CU상도역점,"서울특별시 동작구 상도로 266, 1층 (상도1동)",서울특별시 동작구 상도1동 705 ,3,편의점,보건행정과
휴게음식점,2019-01-29,씨유동작구청2호점,"서울특별시 동작구 노량진로8길 72, 1층 (노량진동)",서울특별시 동작구 노량진동 244-12 ,3.3,편의점,보건행정과
휴게음식점,2019-02-07,세븐일레븐 동작리버하임점,"서울특별시 동작구 현충로 52, 상가1동 1층 9호 (흑석동)",서울특별시 동작구 흑석동 158-1 ,6.6,커피숍,보건행정과
휴게음식점,2019-03-04,CU 상도포스코점,"서울특별시 동작구 장승배기로10길 130, 1층 (상도동)",서울특별시 동작구 상도동 521 상도 더샾아파트 ,6.6,편의점,보건행정과
휴게음식점,2019-03-15,지에스(GS)25 상도건영점,"서울특별시 동작구 만양로 26, 상가동 2층 211호 (상도동, 건영아파트)",서울특별시 동작구 상도동 414 건영아파트 ,3.3,편의점,보건행정과
휴게음식점,2019-03-15,세븐일레븐 동작성대로점,"서울특별시 동작구 성대로1길 9, 1층 (상도동)",서울특별시 동작구 상도동 346-1 ,6.6,편의점,보건행정과
휴게음식점,2019-03-28,지에스25 대방경남점,"서울특별시 동작구 여의대방로54길 14, 1층 (대방동)",서울특별시 동작구 대방동 344-1 경준빌딩 ,3.3,편의점,보건행정과
휴게음식점,2019-04-01,지에스25(GS25) S이수역점,"서울특별시 동작구 사당로 지하 310, 이수역(7호선) (사당동)",서울특별시 동작구 사당동 144-4 이수역(7호선) ,3.3,편의점,보건행정과
휴게음식점,2019-04-02,지에스(GS)25 노들역점,"서울특별시 동작구 노량진로23가길 23, 상가동 105호 (본동, 래미안 트윈파크)",서울특별시 동작구 본동 494 래미안 트윈파크 ,3.3,편의점,보건행정과
휴게음식점,2019-04-12,CU노량진장미점,"서울특별시 동작구 만양로 105, 1층 (노량진동)",서울특별시 동작구 노량진동 116-2 한성빌딩 ,3.3,편의점,보건행정과
휴게음식점,2019-04-15,씨유 이수나누리점,"서울특별시 동작구 동작대로27길 18, 1층 (사당동)",서울특별시 동작구 사당동 132-6 ,3.3,편의점,보건행정과
휴게음식점,2019-04-17,지에스(GS)25 상도스카이점,"서울특별시 동작구 성대로10길 56, 1층 (상도동)",서울특별시 동작구 상도동 279-275 ,3.3,편의점,보건행정과
휴게음식점,2019-04-26,씨유 상도예강점,"서울특별시 동작구 성대로6길 32, 1층 (상도동)",서울특별시 동작구 상도동 313-36 ,3.3,편의점,보건행정과
휴게음식점,2019-05-02,CU총신대종합관점,"서울특별시 동작구 사당로 143, 대한예수교장로회총회신학원 1층 (사당동)",서울특별시 동작구 사당동 200-1 대한예수교장로회총회신학원 ,3,편의점,보건행정과
휴게음식점,2019-05-07,씨유 노량진우성점,"서울특별시 동작구 만양로8길 6, 1층 (노량진동)",서울특별시 동작구 노량진동 214-8 전원미술학원 ,2,편의점,보건행정과
휴게음식점,2019-05-08,지에스25 흑석캐슬,"서울특별시 동작구 서달로 123, 상가동 1층 102호 (흑석동)",서울특별시 동작구 흑석동 232-55 ,3.3,편의점,보건행정과
휴게음식점,2019-05-16,세븐일레븐 동작옴니타워점,"서울특별시 동작구 보라매로5길 23, 지하1층 B107,108호 (신대방동, 삼성보라매옴니타워)",서울특별시 동작구 신대방동 395-62 삼성보라매옴니타워 ,6.6,편의점,보건행정과
휴게음식점,2019-05-27,세븐일레븐 사당1동점,"서울특별시 동작구 남부순환로265가길 20, 제지하층 제101호 (사당동, 가온)",서울특별시 동작구 사당동 419-120 가온 ,6.6,편의점,보건행정과
휴게음식점,2019-05-29,세븐일레븐 흑석리버하임점,"서울특별시 동작구 현충로 52, 아크로 리버하임 근린생활시설 7-2 34호 (흑석동)",서울특별시 동작구 흑석동 158-1 ,6.6,편의점,보건행정과
휴게음식점,2019-06-21,CU숭실대역점,"서울특별시 동작구 상도로 368-1, 1층 (상도동)",서울특별시 동작구 상도동 489-8 청봉빌딩 ,3.3,일반조리판매,보건행정과
휴게음식점,2019-07-10,CU 사당리가점,"서울특별시 동작구 사당로27길 130, 지층 204호 (사당동, 이수역리가아파트)",서울특별시 동작구 사당동 1157 이수역리가아파트 ,3,편의점,보건행정과
휴게음식점,2019-08-13,CU노량진청탑점,"서울특별시 동작구 노량진로 114, 1층 (노량진동)",서울특별시 동작구 노량진동 40-14 청탑학원 ,3.3,일반조리판매,보건행정과
휴게음식점,2019-08-16,경성꽈배기,"서울특별시 동작구 동작대로29길 17, 1층 (사당동)",서울특별시 동작구 사당동 130-14 ,24,일반조리판매,보건행정과
휴게음식점,2019-10-15,(CU)노량진드림점,"서울특별시 동작구 노량진로6길 88, 1층 (노량진동)",서울특별시 동작구 노량진동 297-5 예원피아노 ,3,편의점,보건행정과
휴게음식점,2019-10-16,지에스25 동작현대점,"서울특별시 동작구 현충로 153, 한강현대아파트 상가동 지하9호 (흑석동)",서울특별시 동작구 흑석동 28 한강현대아파트 ,6.6,편의점,보건행정과
휴게음식점,2019-10-18,씨유 상도개미점,"서울특별시 동작구 상도로15길 36, 1층 (상도동)",서울특별시 동작구 상도동 354-3 ,3,편의점,보건행정과
휴게음식점,2019-10-23,(주)세나코퍼레이션 씨유 숭실대중앙점,"서울특별시 동작구 상도로63길 21, 1층 (상도동)",서울특별시 동작구 상도동 504-8 ,3.3,편의점,보건행정과
휴게음식점,2019-10-25,닥터방방,"서울특별시 동작구 동작대로29길 69, 402-1호 (사당동)",서울특별시 동작구 사당동 120-1 금강산보석불가마사우나 ,6,키즈카페,보건행정과
휴게음식점,2019-10-25,지에스25 중대학사,"서울특별시 동작구 흑석로 88, 1층 (흑석동)",서울특별시 동작구 흑석동 223-18 ,3.3,편의점,보건행정과
휴게음식점,2019-11-22,씨유 성대시장점,"서울특별시 동작구 상도로 102, 성대시장 1층 (상도동)",서울특별시 동작구 상도동 324-1 성대시장 ,3,편의점,보건행정과
휴게음식점,2019-12-05,지에스(GS)25 사당본점,"서울특별시 동작구 사당로22나길 22, 1층 (사당동)",서울특별시 동작구 사당동 429-35 ,3.3,편의점,보건행정과
휴게음식점,2019-12-11,아이센스리그PC사당점,"서울특별시 동작구 남부순환로 2067, 3층 (사당동)",서울특별시 동작구 사당동 1044-4 정석빌딩 ,34,일반조리판매,보건행정과
휴게음식점,2020-01-14,씨유상도양녕로점,"서울특별시 동작구 양녕로20길 80, 1층 (상도동)",서울특별시 동작구 상도동 214-88 ,3.3,편의점,보건행정과
휴게음식점,2020-03-31,세븐일레븐 동작제일점,"서울특별시 동작구 사당로12길 22, 1층 (사당동)",서울특별시 동작구 사당동 249-11 ,40.18,편의점,보건행정과
휴게음식점,2020-04-06,지에스이십오흑석한강,"서울특별시 동작구 흑석한강로 27, D동 B층 303,304호 (흑석동, 흑석한강푸르지오)",서울특별시 동작구 흑석동 336 흑석한강푸르지오 ,30.94,편의점,보건행정과
휴게음식점,2020-04-24,엄마네반찬,"서울특별시 동작구 만양로 84, 지하1층 6호 (노량진동, 삼익주상복합아파트)",서울특별시 동작구 노량진동 330 삼익주상복합아파트 ,8.9,일반조리판매,보건행정과
휴게음식점,2020-05-27,노량진시장튀김,"서울특별시 동작구 노들로 674, 노량진수산물도매시장 2층 식자재11호 (노량진동)",서울특별시 동작구 노량진동 13-6 노량진수산물도매시장 ,11.27,일반조리판매,보건행정과
휴게음식점,2020-06-17,지에스(GS)25 흑석푸르지오점,"서울특별시 동작구 흑석한강로 27, 상가A동 지하2층 B205호 (흑석동, 흑석한강푸르지오)",서울특별시 동작구 흑석동 336 흑석한강푸르지오 ,64.48,편의점,보건행정과
휴게음식점,2020-06-18,지에스(GS)25 상도모아점,"서울특별시 동작구 상도로41가길 15, 1층 (상도1동)",서울특별시 동작구 상도1동 660-1 ,3.3,편의점,보건행정과
휴게음식점,2020-06-22,씨유 사당모임점,"서울특별시 동작구 사당로2차길 82, 1층 (사당동)",서울특별시 동작구 사당동 227-16 ,6.6,편의점,보건행정과
휴게음식점,2020-08-03,세븐일레븐 동작국사봉점,"서울특별시 동작구 국사봉길 134, 1층 (상도동)",서울특별시 동작구 상도동 301-159 ,7,편의점,보건행정과
휴게음식점,2020-08-13,이마트24 self사당롯데캐슬점,"서울특별시 동작구 사당로27길 190, 103호 (사당동, 롯데캐슬)",서울특별시 동작구 사당동 1132 롯데캐슬 ,6.6,편의점,보건행정과
휴게음식점,2020-08-21,씨유 신대방파크점,"서울특별시 동작구 여의대방로10길 59, 상가동 102호 (신대방동, 보라매파크빌아파트)",서울특별시 동작구 신대방동 711 보라매파크빌아파트 ,6.6,편의점,보건행정과
휴게음식점,2020-08-28,지에스(GS)25 대방중앙점,"서울특별시 동작구 여의대방로36길 4, 중앙빌딩 1층 (대방동)",서울특별시 동작구 대방동 389-3 중앙빌딩 ,9,편의점,보건행정과
휴게음식점,2020-09-14,지에스25 사당자이점,"서울특별시 동작구 사당로2가길 103, 1층 (사당동)",서울특별시 동작구 사당동 190-197 ,9.9,편의점,보건행정과
휴게음식점,2020-09-23,지에스25동작센타점,"서울특별시 동작구 양녕로28길 28, 1층 (상도동)",서울특별시 동작구 상도동 212-36 ,3.3,편의점,보건행정과
휴게음식점,2020-09-23,이마트24R보라매서울대병원점,"서울특별시 동작구 보라매로5길 20, 서울특별시보라매병원 1층 (신대방동)",서울특별시 동작구 신대방동 425 서울특별시보라매병원 ,3.3,편의점,보건행정과
휴게음식점,2020-09-24,씨유 노량진드림타워점,"서울특별시 동작구 장승배기로 168, 드림타워 (노량진동)",서울특별시 동작구 노량진동 54-11 드림타워 ,3.3,편의점,보건행정과
휴게음식점,2020-10-15,간식나라,"서울특별시 동작구 만양로 19, 1층 135호 (노량진동, 신동아리버파크아파트)",서울특별시 동작구 노량진동 325 신동아리버파크아파트 ,16,일반조리판매,보건행정과
휴게음식점,2020-10-16,지에스25대방타운점,"서울특별시 동작구 여의대방로24라길 32, 1층 (대방동)",서울특별시 동작구 대방동 402-7 ,9.9,편의점,보건행정과
휴게음식점,2020-10-20,씨유 사당로점,"서울특별시 동작구 동작대로9가길 30, 1층 (사당동)",서울특별시 동작구 사당동 1027-4 ,3.3,편의점,보건행정과
휴게음식점,2020-10-23,세븐일레븐상도한마을점,"서울특별시 동작구 상도로47길 30, 1층 (상도1동)",서울특별시 동작구 상도1동 312 ,3.3,편의점,보건행정과
